# To enable ProGuard in your project, edit project.properties
# to define the proguard.config property as described in that file.
#
# Add project specific ProGuard rules here.
# By default, the flags in this file are appended to flags specified
# in ${sdk.dir}/tools/proguard/proguard-android.txt
# You can edit the include path and order by changing the ProGuard
# include property in project.properties.
#
# For more details, see
#   http://developer.android.com/guide/developing/tools/proguard.html

# Add any project specific keep options here:

# If your project uses WebView with JS, uncomment the following
# and specify the fully qualified class name to the JavaScript interface
# class:
#-keepclassmembers class fqcn.of.javascript.interface.for.webview {
#   public *;
#}
-libraryjars libs/Android_Location_V1.0.4.jar
-libraryjars libs/sogou-loc-1.0.jar
-libraryjars libs/TencentMapSDK_Raster_v1.0.6.jar
-libraryjars libs/locSDK_3.3.jar
-libraryjars libs/guava-17.0.jar
-libraryjars libs/TencentLocationSDK_v3.1.8_r145476.jar
-libraryjars libs/my_commons.jar
-libraryjars libs/SOSOMapLBSApi_v1.3.jar
-libraryjars libs/android.jar

